source,destination,distance,road_quality,lane_count,road_type,speed_limit,tolls,foot_traffic,event,vehicle_type,historical_congestion,accident,pothole_reports,predicted_congestion,weight
A,D,39.0,4.43,2,urban,40,0,0.976,procession,bike,0.786,no,9,0.533,21.953
C,B,11.0,3.58,3,rural,80,0,0.227,none,truck,0.064,no,3,0.2,8.299
D,A,45.0,2.42,4,urban,100,1,0.195,procession,suv,0.044,no,5,0.263,21.699
D,E,44.0,4.87,2,rural,60,0,0.189,none,suv,0.476,no,1,0.225,18.178
C,D,56.0,4.33,3,urban,40,0,0.832,none,bike,0.387,no,2,0.356,23.918
D,A,50.0,1.03,3,highway,100,1,0.705,none,bike,0.459,no,0,0.621,28.571
A,B,7.0,3.67,2,rural,80,0,0.635,procession,truck,0.559,no,6,0.408,9.738
D,A,21.0,1.86,2,urban,100,2,0.234,vip_movement,sedan,0.281,no,4,0.358,17.874
D,A,33.0,4.14,2,urban,60,0,0.167,vip_movement,suv,0.09,no,0,0.148,14.09
D,C,43.0,3.0,1,highway,60,1,0.446,none,suv,0.302,no,6,0.343,22.691
B,E,6.0,1.47,4,urban,100,0,0.266,procession,bike,0.779,no,10,0.581,13.503
D,C,44.0,1.39,4,highway,40,0,0.202,procession,suv,0.579,no,5,0.495,24.759
E,A,45.0,3.88,2,highway,80,0,0.65,none,truck,0.416,yes,0,1.0,35.789
A,C,12.0,1.58,1,highway,40,0,0.171,none,bike,0.581,no,6,0.464,14.606
C,B,2.0,4.83,2,urban,100,0,0.487,none,truck,0.938,no,5,0.418,7.311
C,E,16.0,2.33,2,rural,60,0,0.826,none,sedan,0.14,no,9,0.455,14.802
B,A,40.0,2.12,2,rural,80,1,0.769,none,sedan,0.916,no,2,0.545,23.205
A,C,33.0,4.32,3,urban,100,0,0.953,procession,suv,0.515,no,10,0.486,18.42
E,A,10.0,1.18,2,rural,100,0,0.749,vip_movement,bike,0.893,no,9,0.757,17.114
C,B,2.0,3.65,2,rural,100,0,0.747,none,suv,0.937,no,0,0.446,6.935
A,E,53.0,1.72,2,highway,80,2,0.196,none,suv,0.777,no,5,0.478,29.589
C,A,56.0,1.92,1,highway,40,1,0.122,none,truck,0.694,no,4,0.412,28.323
A,E,48.0,3.86,3,rural,40,0,0.928,none,sedan,0.301,no,4,0.389,22.388
C,D,19.0,2.15,4,rural,60,0,0.555,none,truck,0.106,no,8,0.399,15.116
C,A,58.0,3.38,4,rural,100,0,0.785,none,bike,0.109,no,0,0.297,22.347
B,D,28.0,3.12,2,highway,100,2,0.603,none,suv,0.374,no,1,0.334,18.036
D,E,52.0,2.82,2,highway,40,2,0.817,procession,bike,0.067,no,1,0.329,26.863
B,A,12.0,2.24,1,rural,100,2,0.166,none,suv,0.154,no,5,0.292,14.254
A,D,4.0,1.7,1,urban,80,0,0.394,procession,bike,0.505,no,3,0.445,10.195
D,E,32.0,1.73,2,highway,40,0,0.571,vip_movement,suv,0.049,no,10,0.456,21.055
C,E,6.0,4.33,1,urban,100,1,0.844,none,bike,0.98,no,9,0.547,12.723
C,D,38.0,4.12,1,urban,100,0,0.514,vip_movement,bike,0.463,no,7,0.363,18.141
D,B,16.0,1.56,2,highway,60,1,0.368,none,truck,0.327,no,4,0.436,16.663
A,D,14.0,4.8,4,highway,100,0,0.328,none,truck,0.849,no,2,0.339,9.531
E,C,32.0,3.53,2,highway,80,0,0.695,none,truck,0.132,no,9,0.369,17.502
D,A,37.0,1.34,4,rural,80,0,0.959,none,bike,0.594,no,10,0.709,24.932
D,E,56.0,2.01,2,highway,40,0,0.171,procession,sedan,0.572,no,6,0.407,26.557
D,C,43.0,4.2,2,rural,40,0,0.931,vip_movement,sedan,0.117,no,5,0.355,20.641
D,C,55.0,3.68,2,rural,80,2,0.763,procession,suv,0.364,no,3,0.364,27.096
A,E,9.0,4.74,2,rural,60,0,0.553,procession,bike,0.78,no,10,0.451,11.764
A,B,39.0,3.87,4,rural,60,0,0.851,vip_movement,truck,0.122,no,0,0.298,17.47
D,C,1.0,2.82,3,urban,60,2,0.442,none,sedan,0.918,no,3,0.444,12.616
C,A,24.0,4.52,2,rural,100,2,0.106,procession,bike,0.666,no,6,0.303,17.037
A,D,53.0,1.12,2,urban,40,2,0.198,procession,sedan,0.656,yes,10,1.0,48.38
A,E,36.0,4.21,2,highway,100,0,0.801,none,bike,0.772,no,10,0.51,19.586
